AccX,AccY,AccZ
0.0945349996388914,-0.05105060267320418,-1.0038898944084962
0.26517869665009447,-0.13107111188818954,-0.959961678528945
0.3702592468164907,-0.18214662211244034,-0.9334144892087558
0.4210502332139977,-0.20905736137021494,-0.9212642627312368
0.4288252389185329,-0.2165835576857718,-0.9205269353796963
0.40485784700601396,-0.2095054390833693,-0.9282184434374425
0.3604216405523581,-0.19260323358726578,-0.9413547231877836
0.3067902026334859,-0.17065716922172042,-0.9569517109140324
0.3036521670235311,-0.17558836789864352,-0.9503185979131274
0.28087373621991096,-0.1679269920579195,-0.9630523543185574
0.27735104105249014,-0.1471240013592768,-0.9745989907665213
0.31943602408868954,-0.15444556878823615,-0.9686174349547565
0.3504067537321287,-0.1618192784687792,-0.9693567060995529
0.35621663782262636,-0.1483438207773764,-0.962663496933037
0.3594662490072418,-0.1521239131212678,-0.9680005656769286
0.3629129401656129,-0.1420717266660641,-0.952385728971046
0.39968537903801127,-0.15457526170769315,-0.9513802230371093
0.3999566955113145,-0.1589949803357475,-0.9656296396859783
0.40865583482353174,-0.16171676174660726,-0.9685666182733086
0.4081684373601833,-0.1667778741809964,-0.976107359936657
0.3845004951466085,-0.15977247431402805,-0.9671793250986479
0.3698544879981921,-0.15508983507420904,-0.9639087245185574
0.346437977355658,-0.15720049148506876,-0.9599072487176524
0.3225318599149339,-0.14403656151764785,-0.9596222339230823
0.3183682128072416,-0.13292716885520434,-0.9509774464072451
0.3446344299438933,-0.13762770438461613,-0.9286289682289643
0.33371968682353126,-0.129925233388236,-0.9278342407819057
0.32546066348959457,-0.1142438932434395,-0.9168428309511363
0.32743499886154026,-0.15170810064705964,-0.9498804705791908
0.34780052485792046,-0.1620311616171955,-0.9321282434298694
0.38458069665520583,-0.1740700562108607,-0.9468573246063401
0.369263910402717,-0.18094554228597387,-0.9694682815420869
0.37308553976742287,-0.1912670568352952,-0.9787509279728561
0.3695571001321287,-0.17991772137194673,-0.9735455405963855
0.3537971047665178,-0.17477022069683357,-0.9545381434832632
0.3253102022425357,-0.1526508592054307,-0.9800783460868833
0.3051068474298659,-0.13924367242081526,-0.9775057004814534
0.33297732257013757,-0.13045858683710476,-0.9547986338298696
0.3482415247755676,-0.126545266747512,-0.9532025506950279
0.36692590503801115,-0.11824514832941238,-0.9558021512262497
0.35128588098280733,-0.10913041771945758,-0.9749904995791909
0.3582314055221739,-0.12054515186063414,-0.9814311722162952
0.38643395610407455,-0.16998440171945794,-1.0053799313927658
0.3979883255076946,-0.16716275468778377,-0.9920799012850734
0.3784144336904999,-0.1604781622199104,-0.9838613103466118
0.3827932780651605,-0.15911362601810045,-0.9723796308217248
0.38251798465611075,-0.14951282357194653,-0.9792544541176524
0.38728877971493436,-0.1399257194027157,-0.9771583798135801
0.38653801968326007,-0.15006827104253478,-0.9887286569972905
0.3680284043266989,-0.13403740111221796,-1.0128581464977433
0.34749341594570327,-0.12363038225791922,-1.0045175957475168
0.33468851632669866,-0.1142151708407246,-1.0181874822570192
0.3041755780506804,-0.11301987609049836,-1.0411804475312274
0.2752704328244359,-0.09816264863710458,-1.0418096896099605
0.23814515009502388,-0.09032253092488733,-1.0407343661357524
0.26347126004887017,-0.12682497895837172,-1.0154650381719512
0.3144257284552054,-0.15979059160181086,-1.021743981586431
0.3356158090253412,-0.17293839274570233,-1.01749748122263
0.3505364467294137,-0.1792171151447974,-1.0080824908036254
0.3772452101366537,-0.17974273553031778,-1.016803282260639
0.37947871025520574,-0.17692329793303266,-1.0382136418452546
0.3842970077647081,-0.1906868637393676,-1.0148987645728564
0.36981736968145,-0.1743117665276028,-1.0015578603203674
0.3600979214262463,-0.15062062541267052,-1.0266731918886935
0.35923801614932327,-0.13169188361900525,-1.035776212666974
0.3600614659936672,-0.13647637702896004,-1.0395622704190104
0.35991100469140475,-0.1331925199656116,-1.0350342903619967
0.3360574714398209,-0.11796521501086035,-1.0154524447375621
0.31140943156018264,-0.11619525067873365,-1.003209620981001
0.3276168338877846,-0.14971012452669766,-1.0081231443592817
0.3266351896932145,-0.16139219826696927,-1.021179696589146
0.33446956290859914,-0.16353842630316834,-1.022069870784621
0.3471560377719476,-0.1721712830153856,-1.0136133256362048
0.346595066718554,-0.16522973538099642,-1.0099355293384673
0.3493672228751151,-0.16461463350045344,-1.0106752422307748
0.3447046893203639,-0.15652043277285158,-0.990410465656114
0.305741613108599,-0.12256146601900518,-1.0193405773185578
0.29987340049230937,-0.10533883631583765,-1.0546720340914086
0.31487711239728683,-0.1079337971583716,-1.0422926682660691
0.31618044777013754,-0.10899365469321326,-1.0311483667683317
0.32004074191674386,-0.10791811023438973,-1.0260282627737614
0.3169601512162914,-0.11074682726696891,-1.0292878163819061
0.3378170516724001,-0.13556013146153922,-0.9970985930389196
0.3471922725674228,-0.1578951322362,-0.9871312481475167
0.35320232981538663,-0.1617518913049783,-0.9624765801022677
0.3578471880171966,-0.15638234413665245,-0.9472550197583762
0.3424099884280562,-0.16160032532307783,-0.9396913002009102
0.32804987991583895,-0.1608964049122181,-0.9556850519791908
0.3227645116045267,-0.1516919718425348,-0.9768481777140325
0.3088904748235311,-0.1247801629420821,-1.0028247403339423
0.2844386312307708,-0.13096078715656181,-1.011909422902268
0.2910642321339383,-0.12589149984615455,-0.9939592319647115
0.29092967861810115,-0.12346931555294186,-1.0045801224316797
0.3241403393057205,-0.13521311872020014,-1.0020892410208793
0.34770794069060507,-0.14437952688262892,-1.0024292589767616
0.35297770375767,-0.14772839871606974,-1.007613906847964
0.3312948494918322,-0.1420195928963648,-1.019656915183129
0.27400459887800976,-0.12401296809935602,-1.0405720145308992
0.1724521729011183,-0.09046838300088561,-1.072372935439917
0.01798279254607582,-0.03814569627679609,-1.117073408458825
